Pick #,Jimmy Johnson,Rich Hill,Fitzgerald/Spielberger,Kevin Meers,PFF,Michael Lopez,Chase Stuart,Ben Baldwin (Surplus Value),Ben Baldwin (On-Field Value)
245,1,2,212,40,0.049,7.9,0.1,2,7
246,1,2,210,40,0.049,7.9,0.1,2,7
247,1,2,208,40,0.049,7.9,0.1,2,7
248,1,2,206,40,0.049,7.9,0.1,2,7
249,1,2,204,40,0.048,7.9,0.1,2,7
250,1,2,202,40,0.048,7.9,0.1,2,7
251,1,2,200,40,0.048,7.9,0.1,2,7
252,1,1,198,40,0.048,7.9,0.1,2,7
253,1,1,196,40,0.048,7.9,0.1,2,7
254,1,1,194,40,0.048,7.9,0.1,1,7
255,1,1,192,40,0.047,7.9,0.1,1,7
256,1,1,190,40,0.047,7.9,0.1,1,7
257,1,1,188,40,0.047,7.9,0.1,1,7
258,1,1,186,40,0.047,7.9,0.1,1,7
259,1,1,184,40,0.047,7.9,0.1,1,7
260,1,1,182,40,0.047,7.9,0.1,1,6
261,1,1,180,40,0.046,7.9,0.1,1,6
262,1,1,178,40,0.046,7.9,0.1,1,6
263,1,1,176,40,0.046,7.9,0.1,1,6
264,1,1,174,40,0.046,7.9,0.1,1,6
265,1,1,172,40,0.046,7.9,0.1,1,6
266,1,1,170,40,0.045,7.9,0.1,1,6
267,1,1,168,40,0.045,7.9,0.1,1,6
268,1,1,166,40,0.045,7.9,0.1,1,6
269,1,1,164,40,0.045,7.9,0.1,1,6
270,1,1,162,40,0.045,7.9,0.1,1,6
